name,internet,reg_internet
"Electrosteel Castings Ltd",http://www.electrosteel.com,"www.mdpl.in                                                                                                                                                                                                                                               "
"Elgi Equipments Ltd",http://www.elgi.com,www.linkintime.co.in
"Elpro International Ltd",http://www.elpro.co.in,"www.sharexindia.com                                                                                                                                                                                                                                       "
"Birlasoft Ltd",http://www.birlasoft.com,"www.linkintime.co.in                                                                                                                                                                                                                                      "
"GE T&D India Ltd",http://www.ge.com/in/ge-td-india-limited,www.cbmsl.com
"Escorts Kubota Ltd",http://www.escortsgroup.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"EPL Ltd",http://www.eplglobal.com,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Everest Industries Ltd",http://www.everestind.com,NULL
"Excel Industries Ltd",http://www.excelind.co.in,www.linkintime.co.in
"FGP Ltd",http://www.fgpltd.in,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Finolex Cables Ltd",http://www.finolex.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Nestle India Ltd",http://www.nestle.in,"www.alankit.com                                                                                                                                                                                                                                           "
"Foods & Inns Ltd",http://www.foodsandinns.com,www.linkintime.co.in
"GKW Ltd",http://www.gkwltd.com,www.cbmsl.com
"Graviss Hospitality Ltd",http://www.gravisshospitality.com,www.linkintime.co.in
"Kesar Terminals & Infrastructure Ltd",http://www.kesarinfra.com,"www.sharexindia.com                                                                                                                                                                                                                                       "
"Delta Manufacturing Ltd",http://www.deltamagnetsgroup.com/dml,www.freedomregistry.com
"Gabriel India Ltd","http://www.gabrielindia.com; www.anandgroupindia.c","www.kfintech.com                                                                                                                                                                                                                                          "
"Gajra Bevel Gears Ltd",http://www.gajrabevel.com,www.linkintime.co.in
"Gammon India Ltd",http://www.gammonindia.com,www.linkintime.co.in
"Garware Hi Tech Films Ltd",http://www.garwarepoly.com,www.linkintime.co.in
"Garware Technical Fibres Ltd",http://www.garwarefibres.com,"www.linkintime.co.in                                                                                                                                                                                                                                      "
"Glaxosmithkline Pharmaceuticals Ltd",http://www.gsk-india.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Goa Carbon Ltd",http://www.goacarbon.com,www.linkintime.co.in
"Federal-Mogul Goetze (India) Ltd",http://www.federalmogulgoetzeindia.net,"                                                                                                                                                                                                                                                          "
"Forbes & Company Ltd",http://www.forbes.co.in,www.tsrdarashaw.com
"Goodyear India Ltd",http://www.goodyear.co.in,"www.skylinerta.com                                                                                                                                                                                                                                        "
"Kansai Nerolac Paints Ltd",http://www.nerolac.com,www.tsrdarashaw.com
"Goodricke Group Ltd",http://www.goodricke.com,www.cbmsl.com
"Crompton Greaves Consumer Electricals Ltd",http://www.crompton.co.in,"www.kfintech.com                                                                                                                                                                                                                                          "
"AGI Infra Ltd",http://www.agiinfra.com,"www.bigshareonline.com                                                                                                                                                                                                                                    "
"Saregama India Ltd",http://www.saregama.com,www.mcsdel.com
"Great Eastern Shipping Company Ltd",http://www.greatship.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Greaves Cotton Ltd",http://www.greavescotton.com,"www.kfintech.com                                                                                                                                                                                                                                          "
"Grindwell Norton Ltd",http://www.grindwellnorton.co.in,www.tsrdarashaw.com
